exp_name,cat_id
AAMI,7
NIB,7
Woolworths,5
Coles,5
Kmart,6
Ikea,6
Big w,6
Desi,5
Synergy,3
55 FL,12
Sushi,2
BP,17
Ampol,17
Coles Express,17
7 Eleven,17
Caltex,17
McDonald,2
KFC,2
GYG,2
Temu,6
Amazon,14
Public Transport,17
TPG Internet,9
Mahant,19
Netflix,4
Insurance,7
Reading Cinema,4
Ribs Lane,2
Kebab,2
Pizza,2
Chemist,14
CSK 7,2
Yo-Chi,2
MYER,14
Uniqlo,14
H&M,14
Hollister,14
worldremit,11
Ghanda,14
Spudshed,5
Apple,15
ATO,16
Guzman Y Gomez,2
8 Yolks,2
San Churro,2
Federal Police,19
Boost Jui,2
GM Highgate,2
MyPerfect,15
Costco Coffee,6
Burger,2
Transfer To Bobby,10
Belong Melbourne,10
Transfer To M EJAZ,10
Optus Sport,4
American Express,10
APEUNI,10
Adore Beauty,14
Daisy Moon,14
Eraman Klia,14
Gelare,2
International Transaction Fee,4
Little Malaysia,2
Grocery,5
Groundhouse,2
COACH AUSTRALIA,14
NOVO SHOES,14
Sephora,14
Momo,2
SPUD SHED,5
KRISPY KREME,2
DEPARTMENT OF TRANSPOR,1
MILK FLOWER,2
TALHA MUZAFFAR,10
Oakberry,2
AUTOMOTORS,1
Nandos,2
Syed M Farhan,4
AIRBNB,18
KAYO SPORTS,4
FLOWER STATION,14
THE LUCKY CHARM,14
PAIPAI FILMS,4
Priceline,14
BRIDGESTONE,1
FRY?D,2
MR GOZ,2
Transfer To FinTech,16
THE GOOSE BEACH BAR,2
BOBABOBA,2
BUSSELTON JETTY,4
Transfer To Jaan CommBank App,10
SAIGON VIETNAMESE,2
SOUTHERN RIVER MEATS,5
INTEREST CHARGES,8
ROLLERAU_POS*CAVERSHAM,4
TERRYWHITE,10
APOLLO HEALTH,10
BUNNINGS,14
Transfer To ANZ Everyday,10
Transfer To Rmos ANZ,10
OFFICEWORKS,14
PETRA RESTAURANT,2
Chulo Nepalese,2
SP KOALA,6
Transfer To Omer Savings,13
CITY OF VINCENT,17
HUNTINGDALE HALAL MEAT,5
JBENTO,2
Transfer To T SHABBIR,10
SHASVAT PTY LTD,2
SMARTRIDER,17
CAIRO CAFE,2
DEPT OF JUSTICE,10
METRO PETROLEUM,17
Transfer To M J HUMPHREY,6
LOCAL FRESH FREMANTLE,2
NGAN NGA FRESH FRUIT,2
PRETZEL,2
CITY OF FREMANTLE,17
DISNEY PLUS,4
DRACA FARM,14
ORIGIN ENERGY,10
COTTON ON,14
Transfer To Alteration Pants,10
Committee,10
CHOCOLATERIA,2
THE PARK HIVE IGA,5
ONTIME AUTO SERVICE,1
Transfer To Endang W Wardani,6
Transfer To A QASIM,10
Transfer To NHYMA PAKHRIN,10
GET CHUNKY,2
Transfer To Fremantle Baristas,10
MANNING HAIRDRESSING S MANNING,10
COFFEE,2
